Run,pH,NaCl_mM,Load_mg_ml
1,6.5,372.0,30.0
2,7.5,372.0,30.0
3,6.5,572.0,30.0
4,7.5,572.0,30.0
5,6.5,372.0,70.0
6,7.5,372.0,70.0
7,6.5,572.0,70.0
8,7.5,572.0,70.0
